Layer,Name,GEOID,Population,CIP_2010-2020,CIP_2010-2020_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,POP_2018-2022,POP_2018-2022_moe,EKW_2022,EKW_2022_moe,RBS_2018-2022,RBS_2018-2022_moe,RBU_2018-2022,RBU_2018-2022_moe,TRF_2020,TRF_2020_moe,EVR_2018,EVR_2018_moe,VAC_2018-2022,VAC_2018-2022_moe
,,,,"Change in Population (% change), 2010-2020",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Population (residents), 2018-2022",(90% margin of error),"Walkability Index, 2022",(90% margin of error),"Severely rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Traffic intensity (distance-weighted vehicles), 2020",(90% margin of error),"Eviction rate (% of renter-occupied households), 2018",(90% margin of error),"Vacant (% of housing units), 2018-2022",(90% margin of error)
Census tract,Tract 313,17031031300,6719,-5.04522329,,54.51627024660732,4.705697610583365,6853.0,720.0,13.6,,17.54507628294036,8.886061618598905,39.90984743411928,10.629323440626006,970.5001205751304,,0.14,,7.575446520221721,4.1766473480725645
Census tract,Tract 314,17031031400,5221,1.378640777,,72.89220917822838,7.195462838021754,4685.0,514.0,14.28,,19.17981072555205,8.571522445954727,49.77917981072555,15.62555337582831,918.7270063528824,,0.8,,15.632686526373329,5.784500446797353
Census tract,Tract 315.01,17031031501,4155,1.763409258,,34.6551724137931,8.338544613173076,4640.0,794.0,13.33,,22.18769422001243,8.333887203729242,51.14978247358608,11.488098716282616,539.4675272252755,,0.51,,4.997620180866255,3.161672027290955
Census tract,Tract 315.02,17031031502,4712,8.222324299,,39.3336218087408,7.591604101634363,4622.0,450.0,12.0,,21.11423220973783,8.325179966501608,44.99063670411985,10.441904994345409,227.2074794002122,,0.79,,8.495508982035927,4.080504683697102
Census tract,Tract 317,17031031700,6294,-4.200913242,,67.24955058016016,9.424333894429102,6119.0,1041.0,14.63,,18.75681570338059,7.572886781551849,38.113413304252994,9.581603077625582,106.15633685404352,,0.59,,16.702412868632706,6.209476376985779
Census tract,Tract 318,17031031800,1910,4.945054945,,53.02743614001892,2.6257891178213395,2114.0,285.0,17.0,,21.371610845295056,10.183368691369177,34.44976076555024,12.29614971129158,249.1528723,,0.0,,5.018248175182482,4.73036470965914
Census tract,Tract 319,17031031900,2522,9.461805556,,72.5279271824576,8.644441440889631,2417.0,336.0,14.25,,6.293706293706294,4.297163980094563,41.02564102564102,18.348507322931244,145.11268765146707,,0.0,,4.360257326661901,4.248563271476929
Census tract,Tract 321,17031032100,7543,6.962563812,,53.85355131199341,8.789393153283152,7279.0,1081.0,14.4,,16.00378787878788,5.688746175094083,37.18434343434344,9.055839095855353,294.24783777440007,,0.55,,8.36419080810281,6.10344501542355
Census tract,Tract 401,17031040100,3905,-2.007528231,,64.72201446023436,3.9969798863954282,4011.0,472.0,16.33,,20.841889117043124,12.005864583189744,41.889117043121146,16.739424320760566,142.83291187884765,,0.12,,4.042988741044012,2.8361838539409545
Census tract,Tract 402.01,17031040201,6408,3.055644902,,73.32535885167464,9.238150362224811,6688.0,1081.0,15.170000000000002,,13.823529411764708,7.125175864409634,40.88235294117647,14.013472205626385,282.70642187097377,,0.16,,3.862112990743696,2.7437476273607384
Census tract,Tract 402.02,17031040202,7318,0.951855428,,30.018832391713744,4.379882189065201,7965.0,1008.9999999999999,15.08,,39.09185803757829,12.447139307244786,63.88308977035491,14.882382977654267,292.170427628669,,0.28,,7.181615065432492,4.289388980342003
